"DISTRITO","UNIDADE","AREA","ANO","MES","CONS_MED","AGENDADA_MED","ESPONTANEA_MED","CONS_ENF","AGENDADA_ENF","ESPONTANEA_ENF","CONS_ODO","AGENDADA_ODO","ESPONTANEA_ODO"
"Norte","CS BARRA DA LAGOA",0,2018,7,345,41,304,115,3,112,117,43,74
"Norte","CS BARRA DA LAGOA",1,2018,4,156,8,148,289,5,284,54,15,39
"Norte","CS BARRA DA LAGOA",1,2018,5,271,18,253,422,20,402,16,3,13
"Norte","CS BARRA DA LAGOA",1,2018,6,254,19,235,256,12,244,129,63,66
"Norte","CS BARRA DA LAGOA",1,2018,7,279,29,250,247,14,233,73,19,54
"Norte","CS BARRA DA LAGOA",2,2018,4,26,2,24,64,1,63,16,4,12
"Norte","CS BARRA DA LAGOA",2,2018,5,57,3,54,88,3,85,1,0,1
"Norte","CS BARRA DA LAGOA",2,2018,6,71,3,68,46,1,45,35,19,16
"Norte","CS BARRA DA LAGOA",2,2018,7,78,8,70,23,0,23,29,12,17
"Norte","CS CACHOEIRA BOM JESUS",0,2018,4,117,9,108,152,11,141,33,3,30
"Norte","CS CACHOEIRA BOM JESUS",0,2018,5,314,8,306,188,18,170,58,27,31
"Norte","CS CACHOEIRA BOM JESUS",0,2018,6,440,24,416,372,27,345,94,36,58
"Norte","CS CACHOEIRA BOM JESUS",0,2018,7,313,41,272,270,22,248,82,38,44
"Norte","CS CACHOEIRA BOM JESUS",1,2018,4,89,11,78,163,11,152,27,1,26
"Norte","CS CACHOEIRA BOM JESUS",1,2018,5,199,9,190,141,17,124,57,37,20
"Norte","CS CACHOEIRA BOM JESUS",1,2018,6,210,20,190,273,20,253,71,35,36
"Norte","CS CACHOEIRA BOM JESUS",1,2018,7,194,24,170,208,11,197,53,22,31
"Norte","CS CANASVIEIRAS",0,2018,4,124,4,120,97,14,83,32,18,14
"Norte","CS CANASVIEIRAS",0,2018,5,223,11,212,130,5,125,33,17,16
"Norte","CS CANASVIEIRAS",0,2018,6,291,59,232,169,37,132,39,16,23
"Norte","CS CANASVIEIRAS",0,2018,7,302,94,208,153,23,130,43,14,29
"Norte","CS CANASVIEIRAS",1,2018,4,185,12,173,49,5,44,40,24,16
"Norte","CS CANASVIEIRAS",1,2018,5,297,34,263,178,25,153,43,23,20
"Norte","CS CANASVIEIRAS",1,2018,6,404,61,343,200,33,167,39,24,15
"Norte","CS CANASVIEIRAS",1,2018,7,405,57,348,230,20,210,77,41,36
"Norte","CS CANASVIEIRAS",2,2018,4,200,16,184,38,2,36,17,7,10
"Norte","CS CANASVIEIRAS",2,2018,5,176,5,171,233,30,203,26,11,15
"Norte","CS CANASVIEIRAS",2,2018,6,204,24,180,324,28,296,36,20,16
"Norte","CS CANASVIEIRAS",2,2018,7,207,44,163,263,20,243,35,14,21
"Norte","CS CANASVIEIRAS",3,2018,4,211,17,194,28,7,21,27,12,15
"Norte","CS CANASVIEIRAS",3,2018,5,222,31,191,61,14,47,25,13,12
"Norte","CS CANASVIEIRAS",3,2018,6,295,56,239,100,14,86,47,21,26
"Norte","CS CANASVIEIRAS",3,2018,7,305,57,248,85,19,66,48,17,31
"Norte","CS CANASVIEIRAS",4,2018,4,330,36,294,40,2,38,53,32,21
"Norte","CS CANASVIEIRAS",4,2018,5,318,50,268,106,25,81,64,36,28
"Norte","CS CANASVIEIRAS",4,2018,6,287,60,227,197,30,167,90,52,38
"Norte","CS CANASVIEIRAS",4,2018,7,325,48,277,171,35,136,92,47,45
"Norte","CS INGLESES",1,2018,4,218,52,166,163,23,140,57,28,29
"Norte","CS INGLESES",1,2018,5,359,159,200,223,36,187,54,24,30
"Norte","CS INGLESES",1,2018,6,340,137,203,202,50,152,43,26,17
"Norte","CS INGLESES",1,2018,7,325,126,199,194,23,171,33,11,22
"Norte","CS INGLESES",2,2018,4,172,32,140,248,15,233,81,35,46
"Norte","CS INGLESES",2,2018,5,236,80,156,371,35,336,84,41,43
"Norte","CS INGLESES",2,2018,6,285,98,187,298,47,251,71,27,44
"Norte","CS INGLESES",2,2018,7,308,102,206,355,66,289,76,24,52
"Norte","CS INGLESES",3,2018,4,120,25,95,220,11,209,70,23,47
"Norte","CS INGLESES",3,2018,5,219,61,158,270,33,237,64,27,37
"Norte","CS INGLESES",3,2018,6,237,69,168,258,46,212,87,36,51
"Norte","CS INGLESES",3,2018,7,278,83,195,323,52,271,77,35,42
"Norte","CS INGLESES",4,2018,4,87,10,77,184,10,174,53,23,30
"Norte","CS INGLESES",4,2018,5,266,112,154,158,8,150,82,59,23
"Norte","CS INGLESES",4,2018,6,274,83,191,77,13,64,69,37,32
"Norte","CS INGLESES",4,2018,7,347,111,236,143,3,140,42,11,31
"Norte","CS INGLESES",5,2018,4,338,105,233,175,14,161,63,13,50
"Norte","CS INGLESES",5,2018,5,466,144,322,280,57,223,89,41,48
"Norte","CS INGLESES",5,2018,6,445,120,325,226,61,165,74,28,46
"Norte","CS INGLESES",5,2018,7,369,94,275,284,54,230,78,20,58
"Norte","CS INGLESES",6,2018,4,248,35,213,241,8,233,73,25,48
"Norte","CS INGLESES",6,2018,5,494,175,319,304,42,262,109,54,55
"Norte","CS INGLESES",6,2018,6,232,48,184,290,46,244,92,35,57
"Norte","CS INGLESES",6,2018,7,548,110,438,219,37,182,100,45,55
"Norte","CS INGLESES",7,2018,4,70,12,58,67,9,58,19,6,13
"Norte","CS INGLESES",7,2018,5,150,68,82,97,18,79,24,8,16
"Norte","CS INGLESES",7,2018,6,141,50,91,89,22,67,18,9,9
"Norte","CS INGLESES",7,2018,7,158,57,101,96,14,82,26,9,17
"Norte","CS INGLESES",8,2018,4,79,13,66,58,2,56,11,1,10
"Norte","CS INGLESES",8,2018,5,93,38,55,74,7,67,23,10,13
"Norte","CS INGLESES",8,2018,6,102,38,64,66,16,50,22,10,12
"Norte","CS INGLESES",8,2018,7,93,39,54,50,7,43,22,11,11
"Norte","CS JURERE",0,2018,4,395,60,335,255,6,249,74,25,49
"Norte","CS JURERE",0,2018,5,304,50,254,256,36,220,113,56,57
"Norte","CS JURERE",0,2018,6,331,102,229,162,17,145,103,38,65
"Norte","CS JURERE",0,2018,7,293,83,210,198,39,159,49,20,29
"Norte","CS PONTA DAS CANAS",0,2018,4,237,67,170,67,7,60,13,13,0
"Norte","CS PONTA DAS CANAS",0,2018,5,194,30,164,104,19,85,18,8,10
"Norte","CS PONTA DAS CANAS",0,2018,6,277,76,201,81,15,66,11,8,3
"Norte","CS PONTA DAS CANAS",0,2018,7,380,93,287,106,16,90,36,21,15
"Norte","CS PONTA DAS CANAS",1,2018,4,136,26,110,22,3,19,2,1,1
"Norte","CS PONTA DAS CANAS",1,2018,5,128,39,89,37,7,30,5,3,2
"Norte","CS PONTA DAS CANAS",1,2018,6,152,40,112,33,10,23,4,3,1
"Norte","CS PONTA DAS CANAS",1,2018,7,181,42,139,50,13,37,27,20,7
"Norte","CS RATONES",0,2018,4,184,23,161,135,29,106,64,36,28
"Norte","CS RATONES",0,2018,5,206,54,152,197,1,196,56,38,18
"Norte","CS RATONES",0,2018,6,322,83,239,110,30,80,23,11,12
"Norte","CS RATONES",0,2018,7,111,20,91,112,24,88,19,16,3
"Norte","CS RATONES",1,2018,4,94,7,87,56,20,36,19,11,8
"Norte","CS RATONES",1,2018,5,109,26,83,75,0,75,21,19,2
"Norte","CS RATONES",1,2018,6,138,39,99,36,16,20,5,3,2
"Norte","CS RATONES",1,2018,7,62,12,50,44,18,26,17,17,0
"Norte","CS RIO VERMELHO",0,2018,4,435,68,367,289,47,242,96,31,65
"Norte","CS RIO VERMELHO",0,2018,5,502,100,402,364,46,318,70,10,60
"Norte","CS RIO VERMELHO",0,2018,6,459,75,384,357,40,317,81,22,59
"Norte","CS RIO VERMELHO",0,2018,7,377,59,318,350,65,285,83,25,58
"Norte","CS RIO VERMELHO",1,2018,4,472,100,372,159,17,142,80,24,56
"Norte","CS RIO VERMELHO",1,2018,5,548,135,413,262,43,219,69,13,56
"Norte","CS RIO VERMELHO",1,2018,6,534,113,421,206,35,171,82,14,68
"Norte","CS RIO VERMELHO",1,2018,7,491,97,394,195,43,152,89,18,71
"Norte","CS RIO VERMELHO",2,2018,4,280,52,228,107,17,90,61,18,43
"Norte","CS RIO VERMELHO",2,2018,5,306,59,247,122,14,108,50,19,31
"Norte","CS RIO VERMELHO",2,2018,6,326,60,266,130,15,115,54,20,34
"Norte","CS RIO VERMELHO",2,2018,7,295,52,243,132,28,104,68,19,49
"Norte","CS RIO VERMELHO",3,2018,4,323,47,276,115,15,100,64,24,40
"Norte","CS RIO VERMELHO",3,2018,5,366,66,300,155,14,141,60,23,37
"Norte","CS RIO VERMELHO",3,2018,6,450,92,358,167,26,141,44,12,32
"Norte","CS RIO VERMELHO",3,2018,7,393,82,311,134,37,97,58,20,38
"Norte","CS RIO VERMELHO",4,2018,4,216,32,184,116,20,96,37,12,25
"Norte","CS RIO VERMELHO",4,2018,5,255,61,194,160,24,136,28,9,19
"Norte","CS RIO VERMELHO",4,2018,6,280,58,222,148,25,123,49,16,33
"Norte","CS RIO VERMELHO",4,2018,7,240,44,196,154,36,118,58,21,37
"Norte","CS SACO GRANDE",0,2018,4,380,0,380,87,0,87,58,20,38
"Norte","CS SACO GRANDE",0,2018,5,471,8,463,201,0,201,43,14,29
"Norte","CS SACO GRANDE",0,2018,6,621,5,616,230,0,230,123,65,58
"Norte","CS SACO GRANDE",0,2018,7,541,0,541,238,0,238,110,59,51
"Norte","CS SACO GRANDE",1,2018,4,400,1,399,118,0,118,31,8,23
"Norte","CS SACO GRANDE",1,2018,5,579,0,579,126,2,124,35,14,21
"Norte","CS SACO GRANDE",1,2018,6,641,3,638,189,1,188,81,32,49
"Norte","CS SACO GRANDE",1,2018,7,634,2,632,141,0,141,82,25,57
"Norte","CS SACO GRANDE",2,2018,4,164,1,163,173,1,172,17,1,16
"Norte","CS SACO GRANDE",2,2018,5,388,1,387,194,0,194,42,20,22
"Norte","CS SACO GRANDE",2,2018,6,487,1,486,270,0,270,78,35,43
"Norte","CS SACO GRANDE",2,2018,7,375,1,374,179,0,179,91,29,62
"Norte","CS SACO GRANDE",3,2018,4,277,0,277,72,0,72,52,13,39
"Norte","CS SACO GRANDE",3,2018,5,425,1,424,96,0,96,58,24,34
"Norte","CS SACO GRANDE",3,2018,6,532,1,531,90,0,90,91,36,55
"Norte","CS SACO GRANDE",3,2018,7,558,0,558,156,0,156,103,39,64
"Norte","CS SACO GRANDE",4,2018,4,297,0,297,87,1,86,17,3,14
"Norte","CS SACO GRANDE",4,2018,5,396,2,394,139,0,139,35,17,18
"Norte","CS SACO GRANDE",4,2018,6,486,5,481,149,0,149,64,38,26
"Norte","CS SACO GRANDE",4,2018,7,435,2,433,186,0,186,68,32,36
"Norte","CS SACO GRANDE",5,2018,4,278,0,278,88,2,86,48,19,29
"Norte","CS SACO GRANDE",5,2018,5,402,0,402,135,0,135,84,38,46
"Norte","CS SACO GRANDE",5,2018,6,556,1,555,236,1,235,104,56,48
"Norte","CS SACO GRANDE",5,2018,7,520,3,517,236,0,236,157,70,87
"Norte","CS SANTINHO",0,2018,4,286,57,229,178,23,155,128,40,88
"Norte","CS SANTINHO",0,2018,5,312,87,225,170,44,126,171,66,105
"Norte","CS SANTINHO",0,2018,6,422,146,276,279,62,217,154,50,104
"Norte","CS SANTINHO",0,2018,7,418,123,295,238,59,179,167,48,119
"Norte","CS SANTINHO",1,2018,4,189,22,167,170,21,149,119,40,79
"Norte","CS SANTINHO",1,2018,5,412,135,277,95,8,87,162,46,116
"Norte","CS SANTINHO",1,2018,6,464,158,306,143,15,128,107,44,63
"Norte","CS SANTINHO",1,2018,7,258,57,201,133,32,101,155,40,115
"Norte","CS SANTO ANTONIO LISBOA",0,2018,4,269,19,250,157,27,130,47,32,15
"Norte","CS SANTO ANTONIO LISBOA",0,2018,5,411,27,384,134,10,124,129,74,55
"Norte","CS SANTO ANTONIO LISBOA",0,2018,6,305,25,280,208,27,181,120,80,40
"Norte","CS SANTO ANTONIO LISBOA",0,2018,7,281,19,262,33,7,26,55,25,30
"Norte","CS SANTO ANTONIO LISBOA",1,2018,4,250,26,224,242,46,196,104,47,57
"Norte","CS SANTO ANTONIO LISBOA",1,2018,5,456,58,398,191,27,164,90,45,45
"Norte","CS SANTO ANTONIO LISBOA",1,2018,6,430,44,386,197,22,175,150,111,39
"Norte","CS SANTO ANTONIO LISBOA",1,2018,7,461,45,416,40,8,32,117,61,56
"Norte","CS VARGEM GRANDE",0,2018,4,83,15,68,170,39,131,61,21,40
"Norte","CS VARGEM GRANDE",0,2018,5,191,35,156,266,36,230,17,2,15
"Norte","CS VARGEM GRANDE",0,2018,6,460,97,363,535,43,492,89,45,44
"Norte","CS VARGEM GRANDE",0,2018,7,537,133,404,360,44,316,63,17,46
"Norte","CS VARGEM GRANDE",1,2018,5,1,0,1,0,0,0,0,0,0
"Norte","CS VARGEM GRANDE",1,2018,6,0,0,0,1,0,1,0,0,0
"Norte","CS VARGEM GRANDE",1,2018,7,2,0,2,1,0,1,0,0,0
"Norte","CS VARGEM PEQUENA",0,2018,4,209,91,118,54,0,54,51,37,14
"Norte","CS VARGEM PEQUENA",0,2018,5,265,150,115,115,17,98,79,61,18
"Norte","CS VARGEM PEQUENA",0,2018,6,211,115,96,232,1,231,78,52,26
"Norte","CS VARGEM PEQUENA",0,2018,7,208,124,84,142,17,125,4,0,4
"Sul","CS ALTO RIBEIRÃO",0,2018,4,368,21,347,117,19,98,74,8,66
"Sul","CS ALTO RIBEIRÃO",0,2018,5,433,72,361,254,33,221,124,51,73
"Sul","CS ALTO RIBEIRÃO",0,2018,6,466,35,431,211,67,144,19,3,16
"Sul","CS ALTO RIBEIRÃO",0,2018,7,623,118,505,265,87,178,66,9,57
"Sul","CS ARMAÇÃO",0,2018,4,371,30,341,153,15,138,100,13,87
"Sul","CS ARMAÇÃO",0,2018,5,349,39,310,208,24,184,102,24,78
"Sul","CS ARMAÇÃO",0,2018,6,484,49,435,244,28,216,92,10,82
"Sul","CS ARMAÇÃO",0,2018,7,267,15,252,232,37,195,91,14,77
"Sul","CS ARMAÇÃO",1,2018,4,269,22,247,135,10,125,82,18,64
"Sul","CS ARMAÇÃO",1,2018,5,214,8,206,189,19,170,89,27,62
"Sul","CS ARMAÇÃO",1,2018,6,337,36,301,207,23,184,95,30,65
"Sul","CS ARMAÇÃO",1,2018,7,275,34,241,199,26,173,82,25,57
"Sul","CS ARMAÇÃO",2,2018,4,54,4,50,25,4,21,10,4,6
"Sul","CS ARMAÇÃO",2,2018,5,61,5,56,32,3,29,6,0,6
"Sul","CS ARMAÇÃO",2,2018,6,70,17,53,39,3,36,19,2,17
"Sul","CS ARMAÇÃO",2,2018,7,44,5,39,38,1,37,11,1,10
"Sul","CS CAIEIRA BARRA DO SUL",0,2018,4,253,52,201,104,3,101,23,14,9
"Sul","CS CAIEIRA BARRA DO SUL",0,2018,5,268,63,205,36,0,36,8,1,7
"Sul","CS CAIEIRA BARRA DO SUL",0,2018,6,314,103,211,139,2,137,7,4,3
"Sul","CS CAIEIRA BARRA DO SUL",0,2018,7,331,101,230,113,21,92,15,8,7
"Sul","CS CAMPECHE",0,2018,4,344,41,303,133,21,112,36,12,24
"Sul","CS CAMPECHE",0,2018,5,501,57,444,170,23,147,14,8,6
"Sul","CS CAMPECHE",0,2018,6,534,100,434,177,28,149,90,30,60
"Sul","CS CAMPECHE",0,2018,7,516,90,426,180,31,149,64,20,44
"Sul","CS CAMPECHE",1,2018,4,306,28,278,151,8,143,45,9,36
"Sul","CS CAMPECHE",1,2018,5,389,54,335,235,27,208,10,5,5
"Sul","CS CAMPECHE",1,2018,6,290,7,283,251,20,231,78,25,53
"Sul","CS CAMPECHE",1,2018,7,472,71,401,222,17,205,80,27,53
"Sul","CS CANTO DA LAGOA",0,2018,4,132,16,116,23,1,22,21,6,15
"Sul","CS CANTO DA LAGOA",0,2018,5,154,36,118,28,5,23,24,6,18
"Sul","CS CANTO DA LAGOA",0,2018,6,203,47,156,62,10,52,43,16,27
"Sul","CS CANTO DA LAGOA",0,2018,7,203,34,169,69,30,39,42,9,33
"Sul","CS CARIANOS",0,2018,4,184,17,167,219,7,212,92,35,57
"Sul","CS CARIANOS",0,2018,5,226,35,191,177,15,162,79,24,55
"Sul","CS CARIANOS",0,2018,6,326,51,275,220,25,195,81,33,48
"Sul","CS CARIANOS",0,2018,7,377,19,358,118,4,114,95,31,64
"Sul","CS CARIANOS",1,2018,4,225,28,197,158,12,146,109,31,78
"Sul","CS CARIANOS",1,2018,5,324,58,266,185,19,166,135,46,89
"Sul","CS CARIANOS",1,2018,6,396,48,348,225,13,212,128,49,79
"Sul","CS CARIANOS",1,2018,7,542,91,451,208,19,189,107,41,66
"Sul","CS CARIANOS",2,2018,4,27,0,27,21,1,20,16,3,13
"Sul","CS CARIANOS",2,2018,5,39,5,34,21,1,20,12,5,7
"Sul","CS CARIANOS",2,2018,6,37,4,33,30,1,29,18,9,9
"Sul","CS CARIANOS",2,2018,7,51,3,48,18,0,18,15,8,7
"Sul","CS COSTA DA LAGOA",0,2018,4,14,0,14,4,0,4,1,0,1
"Sul","CS COSTA DA LAGOA",0,2018,5,217,2,215,2,0,2,16,0,16
"Sul","CS COSTA DA LAGOA",0,2018,6,201,33,168,35,1,34,8,0,8
"Sul","CS COSTA DA LAGOA",0,2018,7,224,52,172,7,0,7,20,0,20
"Sul","CS COSTEIRA DO PIRAJUBAÉ",0,2018,4,161,20,141,312,29,283,71,12,59
"Sul","CS COSTEIRA DO PIRAJUBAÉ",0,2018,5,359,51,308,417,18,399,19,6,13
"Sul","CS COSTEIRA DO PIRAJUBAÉ",0,2018,6,120,17,103,482,44,438,95,27,68
"Sul","CS COSTEIRA DO PIRAJUBAÉ",0,2018,7,332,49,283,393,13,380,78,17,61
"Sul","CS COSTEIRA DO PIRAJUBAÉ",1,2018,4,312,23,289,331,23,308,65,19,46
"Sul","CS COSTEIRA DO PIRAJUBAÉ",1,2018,5,367,62,305,424,17,407,25,11,14
"Sul","CS COSTEIRA DO PIRAJUBAÉ",1,2018,6,298,60,238,513,33,480,78,20,58
"Sul","CS COSTEIRA DO PIRAJUBAÉ",1,2018,7,357,72,285,491,48,443,93,19,74
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2,2018,4,230,57,173,219,17,202,33,5,28
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2,2018,5,247,48,199,298,12,286,29,9,20
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2,2018,6,238,70,168,355,19,336,73,18,55
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2,2018,7,299,64,235,261,12,249,85,16,69
"Sul","CS FAZENDA DO RIO TAVARES",0,2018,4,203,17,186,48,2,46,27,1,26
"Sul","CS FAZENDA DO RIO TAVARES",0,2018,5,230,20,210,227,20,207,44,32,12
"Sul","CS FAZENDA DO RIO TAVARES",0,2018,6,163,2,161,256,38,218,53,10,43
"Sul","CS FAZENDA DO RIO TAVARES",0,2018,7,292,39,253,264,31,233,57,9,48
"Sul","CS FAZENDA DO RIO TAVARES",1,2018,4,300,29,271,194,17,177,37,4,33
"Sul","CS FAZENDA DO RIO TAVARES",1,2018,5,211,19,192,311,48,263,59,40,19
"Sul","CS FAZENDA DO RIO TAVARES",1,2018,6,508,90,418,349,39,310,73,28,45
"Sul","CS FAZENDA DO RIO TAVARES",1,2018,7,535,85,450,383,47,336,98,14,84
"Sul","CS LAGOA DA CONCEIÇÃO",0,2018,4,232,21,211,57,5,52,21,13,8
"Sul","CS LAGOA DA CONCEIÇÃO",0,2018,5,381,57,324,171,23,148,15,2,13
"Sul","CS LAGOA DA CONCEIÇÃO",0,2018,6,473,51,422,259,24,235,55,38,17
"Sul","CS LAGOA DA CONCEIÇÃO",0,2018,7,398,23,375,221,27,194,29,14,15
"Sul","CS LAGOA DA CONCEIÇÃO",1,2018,4,208,16,192,84,10,74,16,10,6
"Sul","CS LAGOA DA CONCEIÇÃO",1,2018,5,194,51,143,193,17,176,2,0,2
"Sul","CS LAGOA DA CONCEIÇÃO",1,2018,6,388,53,335,246,24,222,40,26,14
"Sul","CS LAGOA DA CONCEIÇÃO",1,2018,7,430,61,369,176,29,147,25,13,12
"Sul","CS LAGOA DA CONCEIÇÃO",2,2018,4,176,17,159,39,10,29,24,11,13
"Sul","CS LAGOA DA CONCEIÇÃO",2,2018,5,297,33,264,125,14,111,12,2,10
"Sul","CS LAGOA DA CONCEIÇÃO",2,2018,6,350,31,319,184,13,171,32,20,12
"Sul","CS LAGOA DA CONCEIÇÃO",2,2018,7,382,27,355,148,21,127,30,12,18
"Sul","CS MORRO DAS PEDRAS",0,2018,4,227,58,169,94,6,88,26,2,24
"Sul","CS MORRO DAS PEDRAS",0,2018,5,317,65,252,150,15,135,40,10,30
"Sul","CS MORRO DAS PEDRAS",0,2018,6,324,82,242,135,13,122,58,9,49
"Sul","CS MORRO DAS PEDRAS",0,2018,7,322,83,239,70,7,63,48,8,40
"Sul","CS MORRO DAS PEDRAS",1,2018,4,257,51,206,71,1,70,53,8,45
"Sul","CS MORRO DAS PEDRAS",1,2018,5,393,71,322,189,17,172,81,24,57
"Sul","CS MORRO DAS PEDRAS",1,2018,6,425,97,328,173,24,149,99,24,75
"Sul","CS MORRO DAS PEDRAS",1,2018,7,375,66,309,126,15,111,104,20,84
"Sul","CS PANTANO DO SUL",0,2018,4,405,3,402,113,1,112,16,3,13
"Sul","CS PANTANO DO SUL",0,2018,5,535,1,534,203,0,203,137,50,87
"Sul","CS PANTANO DO SUL",0,2018,6,440,3,437,185,4,181,113,45,68
"Sul","CS PANTANO DO SUL",0,2018,7,517,1,516,106,3,103,117,30,87
"Sul","CS RIBEIRÃO DA ILHA",0,2018,4,207,34,173,58,12,46,65,13,52
"Sul","CS RIBEIRÃO DA ILHA",0,2018,5,228,42,186,99,23,76,51,10,41
"Sul","CS RIBEIRÃO DA ILHA",0,2018,6,248,101,147,173,49,124,81,42,39
"Sul","CS RIBEIRÃO DA ILHA",0,2018,7,134,27,107,160,53,107,3,1,2
"Sul","CS RIO TAVARES",0,2018,4,190,10,180,55,12,43,34,10,24
"Sul","CS RIO TAVARES",0,2018,5,270,6,264,89,15,74,50,16,34
"Sul","CS RIO TAVARES",0,2018,6,261,22,239,115,24,91,50,8,42
"Sul","CS RIO TAVARES",0,2018,7,389,51,338,124,40,84,10,2,8
"Sul","CS RIO TAVARES",1,2018,4,159,11,148,46,7,39,17,4,13
"Sul","CS RIO TAVARES",1,2018,5,244,2,242,88,27,61,29,7,22
"Sul","CS RIO TAVARES",1,2018,6,158,9,149,103,19,84,52,11,41
"Sul","CS RIO TAVARES",1,2018,7,266,43,223,101,31,70,7,0,7
"Sul","CS RIO TAVARES",2,2018,4,63,1,62,17,4,13,5,0,5
"Sul","CS RIO TAVARES",2,2018,5,85,0,85,40,15,25,10,1,9
"Sul","CS RIO TAVARES",2,2018,6,78,6,72,35,10,25,17,2,15
"Sul","CS RIO TAVARES",2,2018,7,114,12,102,48,8,40,11,0,11
"Sul","CS RIO TAVARES",3,2018,4,33,1,32,14,3,11,4,1,3
"Sul","CS RIO TAVARES",3,2018,5,58,2,56,25,5,20,5,2,3
"Sul","CS RIO TAVARES",3,2018,6,39,1,38,19,7,12,10,0,10
"Sul","CS RIO TAVARES",3,2018,7,64,4,60,18,4,14,1,0,1
"Sul","CS TAPERA",0,2018,4,342,5,337,95,10,85,7,0,7
"Sul","CS TAPERA",0,2018,5,623,42,581,305,16,289,63,8,55
"Sul","CS TAPERA",0,2018,6,771,72,699,299,24,275,66,5,61
"Sul","CS TAPERA",0,2018,7,831,52,779,87,9,78,29,1,28
"Sul","CS TAPERA",1,2018,4,234,16,218,83,9,74,7,0,7
"Sul","CS TAPERA",1,2018,5,358,16,342,244,17,227,53,9,44
"Sul","CS TAPERA",1,2018,6,497,27,470,215,11,204,60,9,51
"Sul","CS TAPERA",1,2018,7,379,25,354,87,5,82,59,5,54
"Sul","CS TAPERA",2,2018,4,307,16,291,60,3,57,7,0,7
"Sul","CS TAPERA",2,2018,5,503,36,467,232,20,212,68,17,51
"Sul","CS TAPERA",2,2018,6,577,53,524,154,18,136,70,5,65
"Sul","CS TAPERA",2,2018,7,558,37,521,157,20,137,71,5,66
"Sul","CS TAPERA",3,2018,4,248,6,242,60,4,56,7,5,2
"Sul","CS TAPERA",3,2018,5,544,33,511,123,20,103,59,8,51
"Sul","CS TAPERA",3,2018,6,664,35,629,175,16,159,53,1,52
"Sul","CS TAPERA",3,2018,7,648,75,573,160,16,144,38,0,38
