"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Continente","CS COQUEIROS","2014 Q3",224
"Centro","CS CÓRREGO GRANDE","2014 Q3",84
"Sul","CS COSTA DA LAGOA","2014 Q3",6
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q3",79
"Continente","CS ESTREITO","2014 Q3",149
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q3",39
"Norte","CS INGLESES","2014 Q3",161
"Centro","CS ITACORUBI","2014 Q3",261
"Continente","CS JARDIM ATLÂNTICO","2014 Q3",20
"Centro","CS JOÃO PAULO","2014 Q3",77
"Norte","CS JURERE","2014 Q3",99
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q3",209
"Continente","CS MONTE CRISTO","2014 Q3",426
"Centro","CS MONTE SERRAT","2014 Q3",90
"Sul","CS MORRO DAS PEDRAS","2014 Q3",139
"Continente","CS NOVO CONTINENTE","2014 Q3",149
"Centro","CS PANTANAL","2014 Q3",161
"Sul","CS PANTANO DO SUL","2014 Q3",59
"Norte","CS PONTA DAS CANAS","2014 Q3",27
"Centro","CS PRAINHA","2014 Q3",177
"Norte","CS RATONES","2014 Q3",25
"Sul","CS RIBEIRÃO DA ILHA","2014 Q3",17
"Sul","CS RIO TAVARES","2014 Q3",138
"Norte","CS RIO VERMELHO","2014 Q3",301
"Centro","CS SACO DOS LIMÕES","2014 Q3",380
"Norte","CS SACO GRANDE","2014 Q3",455
"Norte","CS SANTINHO","2014 Q3",140
"Norte","CS SANTO ANTONIO LISBOA","2014 Q3",191
"Continente","CS SAPE","2014 Q3",109
"Sul","CS TAPERA","2014 Q3",178
"Centro","CS TRINDADE","2014 Q3",306
"Norte","CS VARGEM GRANDE","2014 Q3",14
"Norte","CS VARGEM PEQUENA","2014 Q3",54
"Continente","CS VILA APARECIDA","2014 Q3",5
"Continente","CS ABRAÃO","2014 Q4",56
"Centro","CS AGRONÔMICA","2014 Q4",197
"Sul","CS ALTO RIBEIRÃO","2014 Q4",45
"Sul","CS ARMAÇÃO","2014 Q4",64
"Continente","CS BALNEÁRIO","2014 Q4",62
"Norte","CS BARRA DA LAGOA","2014 Q4",90
"Norte","CS CACHOEIRA BOM JESUS","2014 Q4",54
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q4",9
"Sul","CS CAMPECHE","2014 Q4",126
"Norte","CS CANASVIEIRAS","2014 Q4",188
"Sul","CS CANTO DA LAGOA","2014 Q4",35
"Continente","CS CAPOEIRAS","2014 Q4",76
"Sul","CS CARIANOS","2014 Q4",64
"Centro","CS CENTRO","2014 Q4",101
"Continente","CS COLONINHA","2014 Q4",174
"Continente","CS COQUEIROS","2014 Q4",141
"Centro","CS CÓRREGO GRANDE","2014 Q4",23
"Sul","CS COSTA DA LAGOA","2014 Q4",20
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q4",69
"Continente","CS ESTREITO","2014 Q4",92
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q4",34
"Norte","CS INGLESES","2014 Q4",96
"Centro","CS ITACORUBI","2014 Q4",142
"Continente","CS JARDIM ATLÂNTICO","2014 Q4",25
"Centro","CS JOÃO PAULO","2014 Q4",98
"Norte","CS JURERE","2014 Q4",96
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q4",96
"Continente","CS MONTE CRISTO","2014 Q4",270
"Centro","CS MONTE SERRAT","2014 Q4",81
"Sul","CS MORRO DAS PEDRAS","2014 Q4",126
"Continente","CS NOVO CONTINENTE","2014 Q4",111
"Centro","CS PANTANAL","2014 Q4",95
"Sul","CS PANTANO DO SUL","2014 Q4",69
"Norte","CS PONTA DAS CANAS","2014 Q4",135
"Centro","CS PRAINHA","2014 Q4",102
"Norte","CS RATONES","2014 Q4",50
"Sul","CS RIBEIRÃO DA ILHA","2014 Q4",14
"Sul","CS RIO TAVARES","2014 Q4",96
"Norte","CS RIO VERMELHO","2014 Q4",263
"Centro","CS SACO DOS LIMÕES","2014 Q4",182
"Norte","CS SACO GRANDE","2014 Q4",164
"Norte","CS SANTINHO","2014 Q4",148
"Norte","CS SANTO ANTONIO LISBOA","2014 Q4",86
"Continente","CS SAPE","2014 Q4",76
"Sul","CS TAPERA","2014 Q4",142
"Centro","CS TRINDADE","2014 Q4",170
"Norte","CS VARGEM GRANDE","2014 Q4",16
"Norte","CS VARGEM PEQUENA","2014 Q4",59
"Continente","CS VILA APARECIDA","2014 Q4",5
"Continente","CS ABRAÃO","2015 Q1",46
"Centro","CS AGRONÔMICA","2015 Q1",218
"Sul","CS ALTO RIBEIRÃO","2015 Q1",68
"Sul","CS ARMAÇÃO","2015 Q1",75
"Continente","CS BALNEÁRIO","2015 Q1",95
"Norte","CS BARRA DA LAGOA","2015 Q1",116
"Norte","CS CACHOEIRA BOM JESUS","2015 Q1",171
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q1",12
"Sul","CS CAMPECHE","2015 Q1",109
"Norte","CS CANASVIEIRAS","2015 Q1",146
"Sul","CS CANTO DA LAGOA","2015 Q1",48
"Continente","CS CAPOEIRAS","2015 Q1",91
"Sul","CS CARIANOS","2015 Q1",98
"Centro","CS CENTRO","2015 Q1",140
"Continente","CS COLONINHA","2015 Q1",184
"Continente","CS COQUEIROS","2015 Q1",239
"Centro","CS CÓRREGO GRANDE","2015 Q1",16
"Sul","CS COSTA DA LAGOA","2015 Q1",4
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q1",206
"Continente","CS ESTREITO","2015 Q1",106
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q1",90
"Norte","CS INGLESES","2015 Q1",119
"Centro","CS ITACORUBI","2015 Q1",145
"Continente","CS JARDIM ATLÂNTICO","2015 Q1",75
"Centro","CS JOÃO PAULO","2015 Q1",114
"Norte","CS JURERE","2015 Q1",90
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q1",83
"Continente","CS MONTE CRISTO","2015 Q1",226
"Centro","CS MONTE SERRAT","2015 Q1",80
"Sul","CS MORRO DAS PEDRAS","2015 Q1",143
"Continente","CS NOVO CONTINENTE","2015 Q1",217
"Centro","CS PANTANAL","2015 Q1",112
"Sul","CS PANTANO DO SUL","2015 Q1",128
"Norte","CS PONTA DAS CANAS","2015 Q1",146
"Centro","CS PRAINHA","2015 Q1",160
"Norte","CS RATONES","2015 Q1",110
"Sul","CS RIBEIRÃO DA ILHA","2015 Q1",44
"Sul","CS RIO TAVARES","2015 Q1",181
"Norte","CS RIO VERMELHO","2015 Q1",336
"Centro","CS SACO DOS LIMÕES","2015 Q1",287
"Norte","CS SACO GRANDE","2015 Q1",80
"Norte","CS SANTINHO","2015 Q1",92
"Norte","CS SANTO ANTONIO LISBOA","2015 Q1",97
"Continente","CS SAPE","2015 Q1",15
"Sul","CS TAPERA","2015 Q1",115
"Centro","CS TRINDADE","2015 Q1",198
"Norte","CS VARGEM GRANDE","2015 Q1",71
"Norte","CS VARGEM PEQUENA","2015 Q1",79
"Continente","CS VILA APARECIDA","2015 Q1",5
"Continente","CS ABRAÃO","2015 Q2",81
"Centro","CS AGRONÔMICA","2015 Q2",163
"Sul","CS ALTO RIBEIRÃO","2015 Q2",48
"Sul","CS ARMAÇÃO","2015 Q2",75
"Continente","CS BALNEÁRIO","2015 Q2",88
"Norte","CS BARRA DA LAGOA","2015 Q2",109
"Norte","CS CACHOEIRA BOM JESUS","2015 Q2",77
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q2",6
"Sul","CS CAMPECHE","2015 Q2",106
"Norte","CS CANASVIEIRAS","2015 Q2",113
"Sul","CS CANTO DA LAGOA","2015 Q2",54
"Continente","CS CAPOEIRAS","2015 Q2",106
"Sul","CS CARIANOS","2015 Q2",145
"Centro","CS CENTRO","2015 Q2",92
"Continente","CS COLONINHA","2015 Q2",164
"Continente","CS COQUEIROS","2015 Q2",122
"Centro","CS CÓRREGO GRANDE","2015 Q2",129
"Sul","CS COSTA DA LAGOA","2015 Q2",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q2",97
"Continente","CS ESTREITO","2015 Q2",167
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q2",116
"Norte","CS INGLESES","2015 Q2",130
"Centro","CS ITACORUBI","2015 Q2",198
"Continente","CS JARDIM ATLÂNTICO","2015 Q2",64
"Centro","CS JOÃO PAULO","2015 Q2",96
"Norte","CS JURERE","2015 Q2",68
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q2",49
"Continente","CS MONTE CRISTO","2015 Q2",214
"Centro","CS MONTE SERRAT","2015 Q2",98
"Sul","CS MORRO DAS PEDRAS","2015 Q2",137
"Continente","CS NOVO CONTINENTE","2015 Q2",121
"Centro","CS PANTANAL","2015 Q2",60
"Sul","CS PANTANO DO SUL","2015 Q2",93
"Norte","CS PONTA DAS CANAS","2015 Q2",110
"Centro","CS PRAINHA","2015 Q2",97
"Norte","CS RATONES","2015 Q2",75
"Sul","CS RIBEIRÃO DA ILHA","2015 Q2",37
"Sul","CS RIO TAVARES","2015 Q2",110
"Norte","CS RIO VERMELHO","2015 Q2",263
"Centro","CS SACO DOS LIMÕES","2015 Q2",156
"Norte","CS SACO GRANDE","2015 Q2",73
"Norte","CS SANTINHO","2015 Q2",138
"Norte","CS SANTO ANTONIO LISBOA","2015 Q2",199
"Continente","CS SAPE","2015 Q2",90
"Sul","CS TAPERA","2015 Q2",58
"Centro","CS TRINDADE","2015 Q2",184
"Norte","CS VARGEM GRANDE","2015 Q2",44
"Norte","CS VARGEM PEQUENA","2015 Q2",65
"Continente","CS VILA APARECIDA","2015 Q2",3
"Continente","CS ABRAÃO","2015 Q3",107
"Centro","CS AGRONÔMICA","2015 Q3",233
"Sul","CS ALTO RIBEIRÃO","2015 Q3",39
"Sul","CS ARMAÇÃO","2015 Q3",68
"Continente","CS BALNEÁRIO","2015 Q3",117
"Norte","CS BARRA DA LAGOA","2015 Q3",181
"Norte","CS CACHOEIRA BOM JESUS","2015 Q3",124
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q3",22
"Sul","CS CAMPECHE","2015 Q3",106
"Norte","CS CANASVIEIRAS","2015 Q3",272
"Sul","CS CANTO DA LAGOA","2015 Q3",59
"Continente","CS CAPOEIRAS","2015 Q3",210
"Sul","CS CARIANOS","2015 Q3",176
"Centro","CS CENTRO","2015 Q3",123
"Continente","CS COLONINHA","2015 Q3",192
"Continente","CS COQUEIROS","2015 Q3",180
"Centro","CS CÓRREGO GRANDE","2015 Q3",187
"Sul","CS COSTA DA LAGOA","2015 Q3",1
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q3",150
"Continente","CS ESTREITO","2015 Q3",227
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q3",178
"Norte","CS INGLESES","2015 Q3",280
"Centro","CS ITACORUBI","2015 Q3",280
"Continente","CS JARDIM ATLÂNTICO","2015 Q3",69
"Centro","CS JOÃO PAULO","2015 Q3",121
"Norte","CS JURERE","2015 Q3",76
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q3",76
"Continente","CS MONTE CRISTO","2015 Q3",194
"Centro","CS MONTE SERRAT","2015 Q3",140
"Sul","CS MORRO DAS PEDRAS","2015 Q3",136
"Continente","CS NOVO CONTINENTE","2015 Q3",153
"Centro","CS PANTANAL","2015 Q3",59
"Sul","CS PANTANO DO SUL","2015 Q3",57
"Norte","CS PONTA DAS CANAS","2015 Q3",141
"Centro","CS PRAINHA","2015 Q3",186
"Norte","CS RATONES","2015 Q3",55
"Sul","CS RIBEIRÃO DA ILHA","2015 Q3",63
"Sul","CS RIO TAVARES","2015 Q3",105
"Norte","CS RIO VERMELHO","2015 Q3",254
"Centro","CS SACO DOS LIMÕES","2015 Q3",19
"Norte","CS SACO GRANDE","2015 Q3",68
"Norte","CS SANTINHO","2015 Q3",154
"Norte","CS SANTO ANTONIO LISBOA","2015 Q3",238
"Continente","CS SAPE","2015 Q3",96
"Sul","CS TAPERA","2015 Q3",92
"Centro","CS TRINDADE","2015 Q3",163
"Norte","CS VARGEM GRANDE","2015 Q3",58
"Norte","CS VARGEM PEQUENA","2015 Q3",53
"Continente","CS VILA APARECIDA","2015 Q3",4
"Continente","CS ABRAÃO","2015 Q4",94
"Centro","CS AGRONÔMICA","2015 Q4",214
"Sul","CS ALTO RIBEIRÃO","2015 Q4",17
"Sul","CS ARMAÇÃO","2015 Q4",48
"Continente","CS BALNEÁRIO","2015 Q4",105
"Norte","CS BARRA DA LAGOA","2015 Q4",108
"Norte","CS CACHOEIRA BOM JESUS","2015 Q4",103
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q4",20
"Sul","CS CAMPECHE","2015 Q4",64
"Norte","CS CANASVIEIRAS","2015 Q4",174
"Sul","CS CANTO DA LAGOA","2015 Q4",7
"Continente","CS CAPOEIRAS","2015 Q4",112
"Sul","CS CARIANOS","2015 Q4",158
"Centro","CS CENTRO","2015 Q4",55
"Continente","CS COLONINHA","2015 Q4",104
"Continente","CS COQUEIROS","2015 Q4",154
"Centro","CS CÓRREGO GRANDE","2015 Q4",118
"Sul","CS COSTA DA LAGOA","2015 Q4",5
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q4",103
"Continente","CS ESTREITO","2015 Q4",229
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q4",74
"Norte","CS INGLESES","2015 Q4",195
"Centro","CS ITACORUBI","2015 Q4",196
"Continente","CS JARDIM ATLÂNTICO","2015 Q4",34
"Centro","CS JOÃO PAULO","2015 Q4",75
"Norte","CS JURERE","2015 Q4",51
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q4",51
"Continente","CS MONTE CRISTO","2015 Q4",146
"Centro","CS MONTE SERRAT","2015 Q4",70
"Sul","CS MORRO DAS PEDRAS","2015 Q4",109
"Continente","CS NOVO CONTINENTE","2015 Q4",66
"Centro","CS PANTANAL","2015 Q4",141
"Sul","CS PANTANO DO SUL","2015 Q4",52
"Norte","CS PONTA DAS CANAS","2015 Q4",51
"Centro","CS PRAINHA","2015 Q4",48
"Norte","CS RATONES","2015 Q4",73
"Sul","CS RIBEIRÃO DA ILHA","2015 Q4",42
"Sul","CS RIO TAVARES","2015 Q4",54
"Norte","CS RIO VERMELHO","2015 Q4",266
"Centro","CS SACO DOS LIMÕES","2015 Q4",168
"Norte","CS SACO GRANDE","2015 Q4",285
"Norte","CS SANTINHO","2015 Q4",115
"Norte","CS SANTO ANTONIO LISBOA","2015 Q4",120
"Continente","CS SAPE","2015 Q4",80
"Sul","CS TAPERA","2015 Q4",122
"Centro","CS TRINDADE","2015 Q4",223
"Norte","CS VARGEM GRANDE","2015 Q4",21
"Norte","CS VARGEM PEQUENA","2015 Q4",53
"Continente","CS VILA APARECIDA","2015 Q4",21
"Continente","CS ABRAÃO","2016 Q1",93
"Centro","CS AGRONÔMICA","2016 Q1",198
"Sul","CS ALTO RIBEIRÃO","2016 Q1",22
"Sul","CS ARMAÇÃO","2016 Q1",92
"Continente","CS BALNEÁRIO","2016 Q1",117
"Norte","CS BARRA DA LAGOA","2016 Q1",94
"Norte","CS CACHOEIRA BOM JESUS","2016 Q1",64
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q1",13
"Sul","CS CAMPECHE","2016 Q1",50
"Norte","CS CANASVIEIRAS","2016 Q1",106
"Sul","CS CANTO DA LAGOA","2016 Q1",2
"Continente","CS CAPOEIRAS","2016 Q1",142
"Sul","CS CARIANOS","2016 Q1",191
"Centro","CS CENTRO","2016 Q1",142
"Continente","CS COLONINHA","2016 Q1",158
"Continente","CS COQUEIROS","2016 Q1",160
"Centro","CS CÓRREGO GRANDE","2016 Q1",92
"Sul","CS COSTA DA LAGOA","2016 Q1",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q1",200
"Continente","CS ESTREITO","2016 Q1",223
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q1",119
"Norte","CS INGLESES","2016 Q1",157
"Centro","CS ITACORUBI","2016 Q1",341
"Continente","CS JARDIM ATLÂNTICO","2016 Q1",104
"Centro","CS JOÃO PAULO","2016 Q1",128
"Norte","CS JURERE","2016 Q1",29
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q1",6
"Continente","CS MONTE CRISTO","2016 Q1",118
"Centro","CS MONTE SERRAT","2016 Q1",76
"Sul","CS MORRO DAS PEDRAS","2016 Q1",161
"Continente","CS NOVO CONTINENTE","2016 Q1",77
"Centro","CS PANTANAL","2016 Q1",85
"Sul","CS PANTANO DO SUL","2016 Q1",98
"Norte","CS PONTA DAS CANAS","2016 Q1",72
"Centro","CS PRAINHA","2016 Q1",156
"Norte","CS RATONES","2016 Q1",95
"Sul","CS RIBEIRÃO DA ILHA","2016 Q1",89
"Sul","CS RIO TAVARES","2016 Q1",53
"Norte","CS RIO VERMELHO","2016 Q1",200
"Centro","CS SACO DOS LIMÕES","2016 Q1",209
"Norte","CS SACO GRANDE","2016 Q1",289
"Norte","CS SANTINHO","2016 Q1",128
"Norte","CS SANTO ANTONIO LISBOA","2016 Q1",146
"Continente","CS SAPE","2016 Q1",77
"Sul","CS TAPERA","2016 Q1",113
"Centro","CS TRINDADE","2016 Q1",238
"Norte","CS VARGEM GRANDE","2016 Q1",20
"Norte","CS VARGEM PEQUENA","2016 Q1",72
"Continente","CS VILA APARECIDA","2016 Q1",47
"Continente","CS ABRAÃO","2016 Q2",30
"Centro","CS AGRONÔMICA","2016 Q2",335
"Sul","CS ALTO RIBEIRÃO","2016 Q2",37
"Sul","CS ARMAÇÃO","2016 Q2",115
"Continente","CS BALNEÁRIO","2016 Q2",195
"Norte","CS BARRA DA LAGOA","2016 Q2",152
"Norte","CS CACHOEIRA BOM JESUS","2016 Q2",111
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q2",14
"Sul","CS CAMPECHE","2016 Q2",90
"Norte","CS CANASVIEIRAS","2016 Q2",239
"Sul","CS CANTO DA LAGOA","2016 Q2",4
"Continente","CS CAPOEIRAS","2016 Q2",171
"Sul","CS CARIANOS","2016 Q2",261
"Centro","CS CENTRO","2016 Q2",104
"Continente","CS COLONINHA","2016 Q2",220
"Continente","CS COQUEIROS","2016 Q2",249
"Centro","CS CÓRREGO GRANDE","2016 Q2",180
"Sul","CS COSTA DA LAGOA","2016 Q2",42
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q2",247
"Continente","CS ESTREITO","2016 Q2",338
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q2",110
"Norte","CS INGLESES","2016 Q2",538
"Centro","CS ITACORUBI","2016 Q2",324
"Continente","CS JARDIM ATLÂNTICO","2016 Q2",138
"Centro","CS JOÃO PAULO","2016 Q2",74
"Norte","CS JURERE","2016 Q2",54
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q2",29
"Continente","CS MONTE CRISTO","2016 Q2",215
"Centro","CS MONTE SERRAT","2016 Q2",95
"Sul","CS MORRO DAS PEDRAS","2016 Q2",182
"Continente","CS NOVO CONTINENTE","2016 Q2",188
