"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Norte","CS SANTINHO",980,"2016 Q3",57
"Norte","CS SANTINHO",981,"2016 Q3",57
"Continente","CS JARDIM ATLÂNTICO",10,"2016 Q4",13
"Continente","CS NOVO CONTINENTE",100,"2016 Q4",31
"Continente","CS NOVO CONTINENTE",101,"2016 Q4",26
"Continente","CS NOVO CONTINENTE",102,"2016 Q4",49
"Continente","CS NOVO CONTINENTE",103,"2016 Q4",19
"Continente","CS JARDIM ATLÂNTICO",11,"2016 Q4",14
"Centro","CS MONTE SERRAT",120,"2016 Q4",15
"Centro","CS MONTE SERRAT",121,"2016 Q4",14
"Centro","CS MONTE SERRAT",122,"2016 Q4",18
"Centro","CS PRAINHA",130,"2016 Q4",13
"Centro","CS PRAINHA",131,"2016 Q4",19
"Centro","CS PRAINHA",132,"2016 Q4",25
"Centro","CS PANTANAL",160,"2016 Q4",39
"Centro","CS PANTANAL",161,"2016 Q4",28
"Centro","CS CÓRREGO GRANDE",170,"2016 Q4",46
"Centro","CS CÓRREGO GRANDE",171,"2016 Q4",43
"Centro","CS CÓRREGO GRANDE",172,"2016 Q4",16
"Centro","CS ITACORUBI",190,"2016 Q4",27
"Centro","CS ITACORUBI",191,"2016 Q4",48
"Centro","CS ITACORUBI",192,"2016 Q4",49
"Centro","CS ITACORUBI",193,"2016 Q4",41
"Continente","CS BALNEÁRIO",20,"2016 Q4",56
"Sul","CS CAIEIRA BARRA DO SUL",200,"2016 Q4",3
"Continente","CS BALNEÁRIO",21,"2016 Q4",60
"Sul","CS ALTO RIBEIRÃO",210,"2016 Q4",36
"Sul","CS RIBEIRÃO DA ILHA",220,"2016 Q4",47
"Sul","CS PANTANO DO SUL",230,"2016 Q4",12
"Sul","CS ARMAÇÃO",240,"2016 Q4",38
"Sul","CS ARMAÇÃO",241,"2016 Q4",30
"Sul","CS ARMAÇÃO",242,"2016 Q4",4
"Sul","CS MORRO DAS PEDRAS",250,"2016 Q4",34
"Sul","CS MORRO DAS PEDRAS",251,"2016 Q4",70
"Sul","CS TAPERA",260,"2016 Q4",20
"Sul","CS TAPERA",261,"2016 Q4",17
"Sul","CS TAPERA",262,"2016 Q4",23
"Sul","CS TAPERA",263,"2016 Q4",20
"Sul","CS CARIANOS",270,"2016 Q4",74
"Sul","CS CARIANOS",271,"2016 Q4",82
"Sul","CS CARIANOS",272,"2016 Q4",4
"Sul","CS CAMPECHE",280,"2016 Q4",46
"Sul","CS CAMPECHE",281,"2016 Q4",20
"Sul","CS RIO TAVARES",290,"2016 Q4",24
"Sul","CS RIO TAVARES",291,"2016 Q4",7
"Sul","CS RIO TAVARES",292,"2016 Q4",2
"Sul","CS RIO TAVARES",293,"2016 Q4",2
"Continente","CS SAPE",30,"2016 Q4",11
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2016 Q4",24
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2016 Q4",27
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2016 Q4",19
"Continente","CS SAPE",31,"2016 Q4",9
"Centro","CS SACO DOS LIMÕES",310,"2016 Q4",17
"Centro","CS SACO DOS LIMÕES",311,"2016 Q4",18
"Centro","CS SACO DOS LIMÕES",312,"2016 Q4",33
"Centro","CS SACO DOS LIMÕES",313,"2016 Q4",4
"Centro","CS SACO DOS LIMÕES",314,"2016 Q4",2
"Centro","CS JOÃO PAULO",320,"2016 Q4",30
"Centro","CS JOÃO PAULO",321,"2016 Q4",39
"Norte","CS SACO GRANDE",330,"2016 Q4",31
"Norte","CS SACO GRANDE",331,"2016 Q4",6
"Norte","CS SACO GRANDE",332,"2016 Q4",18
"Norte","CS SACO GRANDE",333,"2016 Q4",23
"Norte","CS SACO GRANDE",334,"2016 Q4",21
"Norte","CS SACO GRANDE",335,"2016 Q4",18
"Norte","CS VARGEM PEQUENA",340,"2016 Q4",12
"Norte","CS RATONES",350,"2016 Q4",38
"Norte","CS RATONES",351,"2016 Q4",31
"Norte","CS SANTO ANTONIO LISBOA",360,"2016 Q4",62
"Norte","CS SANTO ANTONIO LISBOA",361,"2016 Q4",19
"Norte","CS PONTA DAS CANAS",370,"2016 Q4",42
"Norte","CS PONTA DAS CANAS",371,"2016 Q4",32
"Norte","CS CANASVIEIRAS",380,"2016 Q4",25
"Norte","CS CANASVIEIRAS",381,"2016 Q4",24
"Norte","CS CANASVIEIRAS",382,"2016 Q4",28
"Norte","CS CANASVIEIRAS",383,"2016 Q4",22
"Norte","CS CANASVIEIRAS",384,"2016 Q4",24
"Norte","CS JURERE",390,"2016 Q4",49
"Continente","CS MONTE CRISTO",40,"2016 Q4",3
"Norte","CS CACHOEIRA BOM JESUS",400,"2016 Q4",47
"Norte","CS CACHOEIRA BOM JESUS",401,"2016 Q4",28
"Continente","CS MONTE CRISTO",41,"2016 Q4",7
"Norte","CS VARGEM GRANDE",410,"2016 Q4",6
"Continente","CS MONTE CRISTO",42,"2016 Q4",2
"Norte","CS RIO VERMELHO",420,"2016 Q4",55
"Norte","CS RIO VERMELHO",421,"2016 Q4",45
"Norte","CS RIO VERMELHO",422,"2016 Q4",60
"Norte","CS RIO VERMELHO",423,"2016 Q4",65
"Norte","CS RIO VERMELHO",424,"2016 Q4",30
"Continente","CS MONTE CRISTO",43,"2016 Q4",3
"Norte","CS INGLESES",431,"2016 Q4",70
"Norte","CS INGLESES",432,"2016 Q4",39
"Norte","CS INGLESES",433,"2016 Q4",33
"Norte","CS INGLESES",434,"2016 Q4",69
"Norte","CS INGLESES",435,"2016 Q4",37
"Norte","CS INGLESES",436,"2016 Q4",48
"Norte","CS INGLESES",437,"2016 Q4",32
"Norte","CS INGLESES",438,"2016 Q4",27
"Continente","CS MONTE CRISTO",44,"2016 Q4",1
"Norte","CS BARRA DA LAGOA",440,"2016 Q4",30
"Norte","CS BARRA DA LAGOA",441,"2016 Q4",28
"Norte","CS BARRA DA LAGOA",442,"2016 Q4",8
"Continente","CS MONTE CRISTO",45,"2016 Q4",1
"Sul","CS CANTO DA LAGOA",450,"2016 Q4",9
"Continente","CS MONTE CRISTO",46,"2016 Q4",1
"Sul","CS COSTA DA LAGOA",460,"2016 Q4",1
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2016 Q4",31
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2016 Q4",12
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2016 Q4",11
"Continente","CS ABRAÃO",570,"2016 Q4",11
"Continente","CS ABRAÃO",571,"2016 Q4",8
"Continente","CS ABRAÃO",572,"2016 Q4",2
"Continente","CS CAPOEIRAS",60,"2016 Q4",23
"Continente","CS COQUEIROS",600,"2016 Q4",45
"Continente","CS COQUEIROS",601,"2016 Q4",21
"Continente","CS COQUEIROS",602,"2016 Q4",28
"Continente","CS CAPOEIRAS",61,"2016 Q4",32
"Continente","CS CAPOEIRAS",62,"2016 Q4",22
"Centro","CS AGRONÔMICA",690,"2016 Q4",72
"Centro","CS AGRONÔMICA",691,"2016 Q4",66
"Centro","CS AGRONÔMICA",692,"2016 Q4",43
"Centro","CS AGRONÔMICA",693,"2016 Q4",55
"Continente","CS COLONINHA",70,"2016 Q4",48
"Continente","CS COLONINHA",71,"2016 Q4",48
"Continente","CS COLONINHA",72,"2016 Q4",51
"Sul","CS FAZENDA DO RIO TAVARES",780,"2016 Q4",37
"Sul","CS FAZENDA DO RIO TAVARES",781,"2016 Q4",51
"Continente","CS ESTREITO",80,"2016 Q4",46
"Continente","CS ESTREITO",81,"2016 Q4",69
"Continente","CS ESTREITO",82,"2016 Q4",37
"Continente","CS ESTREITO",83,"2016 Q4",42
"Centro","CS TRINDADE",850,"2016 Q4",38
"Centro","CS TRINDADE",851,"2016 Q4",18
"Centro","CS TRINDADE",852,"2016 Q4",15
"Centro","CS TRINDADE",853,"2016 Q4",17
"Centro","CS TRINDADE",854,"2016 Q4",21
"Continente","CS VILA APARECIDA",90,"2016 Q4",23
"Continente","CS VILA APARECIDA",91,"2016 Q4",23
"Centro","CS CENTRO",950,"2016 Q4",29
"Centro","CS CENTRO",951,"2016 Q4",7
"Centro","CS CENTRO",952,"2016 Q4",12
"Norte","CS SANTINHO",980,"2016 Q4",47
"Norte","CS SANTINHO",981,"2016 Q4",38
"Continente","CS JARDIM ATLÂNTICO",10,"2017 Q1",18
"Continente","CS NOVO CONTINENTE",100,"2017 Q1",16
"Continente","CS NOVO CONTINENTE",101,"2017 Q1",10
"Continente","CS NOVO CONTINENTE",102,"2017 Q1",5
"Continente","CS NOVO CONTINENTE",103,"2017 Q1",11
"Continente","CS JARDIM ATLÂNTICO",11,"2017 Q1",15
"Centro","CS MONTE SERRAT",120,"2017 Q1",4
"Centro","CS MONTE SERRAT",121,"2017 Q1",1
"Centro","CS MONTE SERRAT",122,"2017 Q1",4
"Centro","CS PRAINHA",130,"2017 Q1",13
"Centro","CS PRAINHA",131,"2017 Q1",15
"Centro","CS PRAINHA",132,"2017 Q1",23
"Centro","CS PANTANAL",160,"2017 Q1",28
"Centro","CS PANTANAL",161,"2017 Q1",18
"Centro","CS CÓRREGO GRANDE",170,"2017 Q1",35
"Centro","CS CÓRREGO GRANDE",171,"2017 Q1",23
"Centro","CS CÓRREGO GRANDE",172,"2017 Q1",11
"Centro","CS ITACORUBI",190,"2017 Q1",44
"Centro","CS ITACORUBI",191,"2017 Q1",37
"Centro","CS ITACORUBI",192,"2017 Q1",28
"Centro","CS ITACORUBI",193,"2017 Q1",15
"Continente","CS BALNEÁRIO",20,"2017 Q1",41
"Sul","CS CAIEIRA BARRA DO SUL",200,"2017 Q1",5
"Continente","CS BALNEÁRIO",21,"2017 Q1",12
"Sul","CS ALTO RIBEIRÃO",210,"2017 Q1",21
"Sul","CS RIBEIRÃO DA ILHA",220,"2017 Q1",38
"Sul","CS PANTANO DO SUL",230,"2017 Q1",28
"Sul","CS ARMAÇÃO",240,"2017 Q1",35
"Sul","CS ARMAÇÃO",241,"2017 Q1",18
"Sul","CS ARMAÇÃO",242,"2017 Q1",2
"Sul","CS MORRO DAS PEDRAS",250,"2017 Q1",21
"Sul","CS MORRO DAS PEDRAS",251,"2017 Q1",37
"Sul","CS TAPERA",260,"2017 Q1",3
"Sul","CS TAPERA",261,"2017 Q1",2
"Sul","CS TAPERA",262,"2017 Q1",0
"Sul","CS TAPERA",263,"2017 Q1",4
"Sul","CS CARIANOS",270,"2017 Q1",32
"Sul","CS CARIANOS",271,"2017 Q1",46
"Sul","CS CARIANOS",272,"2017 Q1",5
"Sul","CS CAMPECHE",280,"2017 Q1",12
"Sul","CS CAMPECHE",281,"2017 Q1",5
"Sul","CS RIO TAVARES",290,"2017 Q1",3
"Sul","CS RIO TAVARES",291,"2017 Q1",0
"Sul","CS RIO TAVARES",292,"2017 Q1",1
"Sul","CS RIO TAVARES",293,"2017 Q1",0
"Continente","CS SAPE",30,"2017 Q1",4
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2017 Q1",19
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2017 Q1",23
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2017 Q1",21
"Continente","CS SAPE",31,"2017 Q1",0
"Centro","CS SACO DOS LIMÕES",310,"2017 Q1",19
"Centro","CS SACO DOS LIMÕES",311,"2017 Q1",21
"Centro","CS SACO DOS LIMÕES",312,"2017 Q1",26
"Centro","CS SACO DOS LIMÕES",313,"2017 Q1",4
"Centro","CS SACO DOS LIMÕES",314,"2017 Q1",4
"Centro","CS JOÃO PAULO",320,"2017 Q1",24
"Centro","CS JOÃO PAULO",321,"2017 Q1",14
"Norte","CS SACO GRANDE",330,"2017 Q1",19
"Norte","CS SACO GRANDE",331,"2017 Q1",14
"Norte","CS SACO GRANDE",332,"2017 Q1",14
"Norte","CS SACO GRANDE",333,"2017 Q1",42
"Norte","CS SACO GRANDE",334,"2017 Q1",17
"Norte","CS SACO GRANDE",335,"2017 Q1",20
"Norte","CS VARGEM PEQUENA",340,"2017 Q1",37
"Norte","CS RATONES",350,"2017 Q1",24
"Norte","CS RATONES",351,"2017 Q1",12
"Norte","CS SANTO ANTONIO LISBOA",360,"2017 Q1",44
"Norte","CS SANTO ANTONIO LISBOA",361,"2017 Q1",9
"Norte","CS PONTA DAS CANAS",370,"2017 Q1",10
"Norte","CS PONTA DAS CANAS",371,"2017 Q1",4
"Norte","CS CANASVIEIRAS",380,"2017 Q1",4
"Norte","CS CANASVIEIRAS",381,"2017 Q1",9
"Norte","CS CANASVIEIRAS",382,"2017 Q1",7
"Norte","CS CANASVIEIRAS",383,"2017 Q1",2
"Norte","CS CANASVIEIRAS",384,"2017 Q1",10
"Norte","CS JURERE",390,"2017 Q1",40
"Continente","CS MONTE CRISTO",40,"2017 Q1",1
"Norte","CS CACHOEIRA BOM JESUS",400,"2017 Q1",25
"Norte","CS CACHOEIRA BOM JESUS",401,"2017 Q1",19
"Continente","CS MONTE CRISTO",41,"2017 Q1",0
"Norte","CS VARGEM GRANDE",410,"2017 Q1",1
"Continente","CS MONTE CRISTO",42,"2017 Q1",3
"Norte","CS RIO VERMELHO",420,"2017 Q1",67
"Norte","CS RIO VERMELHO",421,"2017 Q1",33
"Norte","CS RIO VERMELHO",422,"2017 Q1",40
"Norte","CS RIO VERMELHO",423,"2017 Q1",42
"Norte","CS RIO VERMELHO",424,"2017 Q1",24
"Continente","CS MONTE CRISTO",43,"2017 Q1",1
"Norte","CS INGLESES",431,"2017 Q1",55
"Norte","CS INGLESES",432,"2017 Q1",32
"Norte","CS INGLESES",433,"2017 Q1",18
"Norte","CS INGLESES",434,"2017 Q1",59
"Norte","CS INGLESES",435,"2017 Q1",54
"Norte","CS INGLESES",436,"2017 Q1",17
"Norte","CS INGLESES",437,"2017 Q1",24
"Norte","CS INGLESES",438,"2017 Q1",23
"Continente","CS MONTE CRISTO",44,"2017 Q1",1
"Norte","CS BARRA DA LAGOA",440,"2017 Q1",22
"Norte","CS BARRA DA LAGOA",441,"2017 Q1",30
"Norte","CS BARRA DA LAGOA",442,"2017 Q1",15
"Continente","CS MONTE CRISTO",45,"2017 Q1",2
"Sul","CS CANTO DA LAGOA",450,"2017 Q1",5
"Continente","CS MONTE CRISTO",46,"2017 Q1",0
"Sul","CS COSTA DA LAGOA",460,"2017 Q1",3
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2017 Q1",17
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2017 Q1",7
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2017 Q1",10
"Continente","CS ABRAÃO",570,"2017 Q1",2
"Continente","CS ABRAÃO",571,"2017 Q1",0
"Continente","CS ABRAÃO",572,"2017 Q1",2
"Continente","CS CAPOEIRAS",60,"2017 Q1",20
"Continente","CS COQUEIROS",600,"2017 Q1",17
"Continente","CS COQUEIROS",601,"2017 Q1",16
"Continente","CS COQUEIROS",602,"2017 Q1",20
"Continente","CS CAPOEIRAS",61,"2017 Q1",22
"Continente","CS CAPOEIRAS",62,"2017 Q1",11
"Centro","CS AGRONÔMICA",690,"2017 Q1",33
"Centro","CS AGRONÔMICA",691,"2017 Q1",35
"Centro","CS AGRONÔMICA",692,"2017 Q1",35
"Centro","CS AGRONÔMICA",693,"2017 Q1",33
"Continente","CS COLONINHA",70,"2017 Q1",32
"Continente","CS COLONINHA",71,"2017 Q1",39
"Continente","CS COLONINHA",72,"2017 Q1",24
"Sul","CS FAZENDA DO RIO TAVARES",780,"2017 Q1",13
"Sul","CS FAZENDA DO RIO TAVARES",781,"2017 Q1",7
"Continente","CS ESTREITO",80,"2017 Q1",32
"Continente","CS ESTREITO",81,"2017 Q1",18
"Continente","CS ESTREITO",82,"2017 Q1",17
"Continente","CS ESTREITO",83,"2017 Q1",52
"Centro","CS TRINDADE",850,"2017 Q1",7
"Centro","CS TRINDADE",851,"2017 Q1",1
"Centro","CS TRINDADE",852,"2017 Q1",7
"Centro","CS TRINDADE",853,"2017 Q1",3
"Centro","CS TRINDADE",854,"2017 Q1",5
"Continente","CS VILA APARECIDA",90,"2017 Q1",13
"Continente","CS VILA APARECIDA",91,"2017 Q1",8
"Centro","CS CENTRO",950,"2017 Q1",34
"Centro","CS CENTRO",951,"2017 Q1",22
"Centro","CS CENTRO",952,"2017 Q1",24
"Norte","CS SANTINHO",980,"2017 Q1",34
"Norte","CS SANTINHO",981,"2017 Q1",41
"Continente","CS JARDIM ATLÂNTICO",10,"2017 Q2",64
"Continente","CS NOVO CONTINENTE",100,"2017 Q2",50
"Continente","CS NOVO CONTINENTE",101,"2017 Q2",28
"Continente","CS NOVO CONTINENTE",102,"2017 Q2",51
"Continente","CS NOVO CONTINENTE",103,"2017 Q2",35
"Continente","CS JARDIM ATLÂNTICO",11,"2017 Q2",50
"Centro","CS MONTE SERRAT",120,"2017 Q2",6
"Centro","CS MONTE SERRAT",121,"2017 Q2",8
"Centro","CS MONTE SERRAT",122,"2017 Q2",6
"Centro","CS PRAINHA",130,"2017 Q2",30
"Centro","CS PRAINHA",131,"2017 Q2",15
"Centro","CS PRAINHA",132,"2017 Q2",42
"Centro","CS PANTANAL",160,"2017 Q2",35
"Centro","CS PANTANAL",161,"2017 Q2",22
"Centro","CS CÓRREGO GRANDE",170,"2017 Q2",71
"Centro","CS CÓRREGO GRANDE",171,"2017 Q2",52
"Centro","CS CÓRREGO GRANDE",172,"2017 Q2",31
"Centro","CS ITACORUBI",190,"2017 Q2",33
"Centro","CS ITACORUBI",191,"2017 Q2",34
"Centro","CS ITACORUBI",192,"2017 Q2",40
"Centro","CS ITACORUBI",193,"2017 Q2",36
"Continente","CS BALNEÁRIO",20,"2017 Q2",55
"Sul","CS CAIEIRA BARRA DO SUL",200,"2017 Q2",4
"Continente","CS BALNEÁRIO",21,"2017 Q2",78
"Sul","CS ALTO RIBEIRÃO",210,"2017 Q2",81
"Sul","CS RIBEIRÃO DA ILHA",220,"2017 Q2",34
"Sul","CS PANTANO DO SUL",230,"2017 Q2",22
"Sul","CS ARMAÇÃO",240,"2017 Q2",44
"Sul","CS ARMAÇÃO",241,"2017 Q2",19
"Sul","CS ARMAÇÃO",242,"2017 Q2",6
"Sul","CS MORRO DAS PEDRAS",250,"2017 Q2",60
"Sul","CS MORRO DAS PEDRAS",251,"2017 Q2",76
"Sul","CS TAPERA",260,"2017 Q2",36
"Sul","CS TAPERA",261,"2017 Q2",17
"Sul","CS TAPERA",262,"2017 Q2",15
"Sul","CS TAPERA",263,"2017 Q2",34
"Sul","CS CARIANOS",270,"2017 Q2",85
"Sul","CS CARIANOS",271,"2017 Q2",89
"Sul","CS CARIANOS",272,"2017 Q2",11
"Sul","CS CAMPECHE",280,"2017 Q2",41
"Sul","CS CAMPECHE",281,"2017 Q2",30
"Sul","CS RIO TAVARES",290,"2017 Q2",20
"Sul","CS RIO TAVARES",291,"2017 Q2",8
"Sul","CS RIO TAVARES",292,"2017 Q2",9
"Sul","CS RIO TAVARES",293,"2017 Q2",2
"Continente","CS SAPE",30,"2017 Q2",29
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2017 Q2",48
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2017 Q2",49
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2017 Q2",36
"Continente","CS SAPE",31,"2017 Q2",20
"Centro","CS SACO DOS LIMÕES",310,"2017 Q2",20
"Centro","CS SACO DOS LIMÕES",311,"2017 Q2",46
"Centro","CS SACO DOS LIMÕES",312,"2017 Q2",57
"Centro","CS SACO DOS LIMÕES",313,"2017 Q2",7
"Centro","CS SACO DOS LIMÕES",314,"2017 Q2",6
"Centro","CS JOÃO PAULO",320,"2017 Q2",39
"Centro","CS JOÃO PAULO",321,"2017 Q2",60
"Norte","CS SACO GRANDE",330,"2017 Q2",47
"Norte","CS SACO GRANDE",331,"2017 Q2",80
"Norte","CS SACO GRANDE",332,"2017 Q2",41
"Norte","CS SACO GRANDE",333,"2017 Q2",80
"Norte","CS SACO GRANDE",334,"2017 Q2",32
"Norte","CS SACO GRANDE",335,"2017 Q2",39
"Norte","CS VARGEM PEQUENA",340,"2017 Q2",71
"Norte","CS RATONES",350,"2017 Q2",27
"Norte","CS RATONES",351,"2017 Q2",18
"Norte","CS SANTO ANTONIO LISBOA",360,"2017 Q2",92
"Norte","CS SANTO ANTONIO LISBOA",361,"2017 Q2",34
"Norte","CS PONTA DAS CANAS",370,"2017 Q2",53
"Norte","CS PONTA DAS CANAS",371,"2017 Q2",31
"Norte","CS CANASVIEIRAS",380,"2017 Q2",31
"Norte","CS CANASVIEIRAS",381,"2017 Q2",27
"Norte","CS CANASVIEIRAS",382,"2017 Q2",24
"Norte","CS CANASVIEIRAS",383,"2017 Q2",19
"Norte","CS CANASVIEIRAS",384,"2017 Q2",24
"Norte","CS JURERE",390,"2017 Q2",84
"Continente","CS MONTE CRISTO",40,"2017 Q2",19
"Norte","CS CACHOEIRA BOM JESUS",400,"2017 Q2",68
"Norte","CS CACHOEIRA BOM JESUS",401,"2017 Q2",39
"Continente","CS MONTE CRISTO",41,"2017 Q2",25
"Norte","CS VARGEM GRANDE",410,"2017 Q2",31
"Continente","CS MONTE CRISTO",42,"2017 Q2",19
"Norte","CS RIO VERMELHO",420,"2017 Q2",54
"Norte","CS RIO VERMELHO",421,"2017 Q2",46
"Norte","CS RIO VERMELHO",422,"2017 Q2",49
"Norte","CS RIO VERMELHO",423,"2017 Q2",56
"Norte","CS RIO VERMELHO",424,"2017 Q2",33
"Continente","CS MONTE CRISTO",43,"2017 Q2",19
"Norte","CS INGLESES",431,"2017 Q2",57
"Norte","CS INGLESES",432,"2017 Q2",57
"Norte","CS INGLESES",433,"2017 Q2",40
"Norte","CS INGLESES",434,"2017 Q2",68
"Norte","CS INGLESES",435,"2017 Q2",52
"Norte","CS INGLESES",436,"2017 Q2",31
"Norte","CS INGLESES",437,"2017 Q2",19
"Norte","CS INGLESES",438,"2017 Q2",17
"Continente","CS MONTE CRISTO",44,"2017 Q2",27
"Norte","CS BARRA DA LAGOA",440,"2017 Q2",51
"Norte","CS BARRA DA LAGOA",441,"2017 Q2",27
"Norte","CS BARRA DA LAGOA",442,"2017 Q2",22
"Continente","CS MONTE CRISTO",45,"2017 Q2",14
"Sul","CS CANTO DA LAGOA",450,"2017 Q2",20
"Continente","CS MONTE CRISTO",46,"2017 Q2",4
"Sul","CS COSTA DA LAGOA",460,"2017 Q2",2
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2017 Q2",30
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2017 Q2",18
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2017 Q2",17
"Continente","CS ABRAÃO",570,"2017 Q2",8
"Continente","CS ABRAÃO",571,"2017 Q2",22
"Continente","CS ABRAÃO",572,"2017 Q2",7
"Continente","CS CAPOEIRAS",60,"2017 Q2",41
"Continente","CS COQUEIROS",600,"2017 Q2",23
"Continente","CS COQUEIROS",601,"2017 Q2",66
"Continente","CS COQUEIROS",602,"2017 Q2",67
"Continente","CS CAPOEIRAS",61,"2017 Q2",44
"Continente","CS CAPOEIRAS",62,"2017 Q2",38
"Centro","CS AGRONÔMICA",690,"2017 Q2",107
"Centro","CS AGRONÔMICA",691,"2017 Q2",79
"Centro","CS AGRONÔMICA",692,"2017 Q2",58
"Centro","CS AGRONÔMICA",693,"2017 Q2",65
"Continente","CS COLONINHA",70,"2017 Q2",83
"Continente","CS COLONINHA",71,"2017 Q2",47
"Continente","CS COLONINHA",72,"2017 Q2",117
"Sul","CS FAZENDA DO RIO TAVARES",780,"2017 Q2",17
"Sul","CS FAZENDA DO RIO TAVARES",781,"2017 Q2",34
"Continente","CS ESTREITO",80,"2017 Q2",68
"Continente","CS ESTREITO",81,"2017 Q2",63
"Continente","CS ESTREITO",82,"2017 Q2",36
"Continente","CS ESTREITO",83,"2017 Q2",83
"Centro","CS TRINDADE",850,"2017 Q2",56
"Centro","CS TRINDADE",851,"2017 Q2",25
"Centro","CS TRINDADE",852,"2017 Q2",32
"Centro","CS TRINDADE",853,"2017 Q2",25
"Centro","CS TRINDADE",854,"2017 Q2",11
"Continente","CS VILA APARECIDA",90,"2017 Q2",17
"Continente","CS VILA APARECIDA",91,"2017 Q2",16
"Centro","CS CENTRO",950,"2017 Q2",37
"Centro","CS CENTRO",951,"2017 Q2",13
"Centro","CS CENTRO",952,"2017 Q2",18
